i,d_cosine_ratio[i],d_coMat_ratio[i],s_cosine_ratio[i],s_coMat_ratio[i],countSq
200,0.335868008831,0.440545091024,0.412232100423,0.473877176902,5800.0
201,0.310855342105,0.277795492138,0.436562617197,0.362826254128,71512.0
202,0.623488834964,0.53416404844,0.737155196848,0.65771620487,22777.0
203,0.549748885615,0.378512880562,0.732389362586,0.393696930111,978.0
204,0.260959182885,0.51195369516,0.361060105369,0.53947757516,5371.0
205,0.436190047895,0.385674115732,0.488896122713,0.466274260261,1519.0
206,0.101239127157,0.100194823267,0.0881870247842,0.0687374173138,542.0
207,0.291587163759,0.219298245614,0.290378675834,0.159244264507,90.0
208,0.354569236198,0.407666345227,0.532304181258,0.56051670879,1170.0
209,0.38402443795,0.249795695996,0.527135166938,0.269192650759,3298.0
210,0.454627709734,0.450593589095,0.611846026475,0.438762409056,104828.0
211,0.281560078822,0.366106719368,0.442728065615,0.323480923222,4394.0
212,0.393196939308,0.395984383714,0.507078313895,0.51835429236,2908.0
213,0.462634213239,0.502758367047,0.627477652842,0.61143572621,461.0
214,0.0965848841516,0.250391236307,0.192587329487,0.418173732582,5359.0
215,0.208342514362,0.45126835781,0.585912599741,0.442555383823,648.0
216,0.288448488323,0.253749340568,0.476986816196,0.201665124884,5626.0
217,0.590100266961,0.465976251152,0.597193741815,0.402130970909,6849.0
218,0.379568982827,0.584678010855,0.439109631295,0.521858459126,12560.0
219,0.296981268713,0.270735524257,0.339663175545,0.313893653516,92.0
220,0.448161924661,0.459770114943,0.401562051194,0.313598519889,185.0
221,0.150073481398,0.169765561843,0.23657968208,0.335664335664,262.0
222,0.33866164968,0.601534262742,0.544824981987,0.63679749856,4548.0
223,0.240321567151,0.389554111073,0.354995617017,0.397791543227,4541.0
224,0.139165341617,0.271341463415,0.214580014406,0.40350877193,51.0
226,0.503498925972,0.349553001277,0.701409783823,0.43689039391,12542.0
227,0.258635287464,0.222945205479,0.561618627047,0.404651162791,714.0
228,0.113475184042,0.246517262265,0.201092908244,0.230515191546,188.0
229,0.582971093204,0.53820805636,0.722131485758,0.603892235388,5192.0
230,0.172301776254,0.243958573072,0.258673782751,0.346835443038,168.0
232,0.213064122036,0.280709323899,0.23841086976,0.223724231159,12086.0
233,0.0349269130152,0.0793507664563,0.0799255690253,0.148413510747,207.0
234,0.519516053581,0.473468761193,0.747442823191,0.60209145693,4606.0
